normalized_name,count,examples
현금및현금성자산,115,현금및현금성자산
유형자산,114,유형자산
비유동자산,111,비유동자산
금융수익,111,금융수익
자본금,110,자본금
매출원가,110,매출원가
판매비와관리비,110,판매비와관리비
매출총이익,107,매출총이익
,107,
기타포괄손익,105,기타포괄손익
유형자산의취득,101,유형자산의 취득 | 유형자산의취득
유형자산의처분,100,유형자산의 처분 | 유형자산의처분
기말현금및현금성자산,100,기말현금및현금성자산 | 기말 현금및현금성자산
기타유동자산,99,기타유동자산
기초현금및현금성자산,99,기초현금및현금성자산 | 기초 현금및현금성자산
무형자산의취득,98,무형자산의 취득 | 무형자산의취득
재무활동현금흐름,96,재무활동현금흐름 | 재무활동 현금흐름
이연법인세자산,96,이연법인세자산
무형자산,95,무형자산
투자활동현금흐름,95,투자활동현금흐름 | 투자활동 현금흐름
지배기업의소유주에게귀속되는자본,94,지배기업의 소유주에게 귀속되는 자본
영업활동현금흐름,94,영업활동현금흐름 | 영업활동 현금흐름
법인세비용수익,93,법인세비용(수익)
법인세비용차감전순이익손실,91,법인세비용차감전순이익(손실)
당기법인세부채,91,당기법인세부채
당기법인세자산,86,당기법인세자산
이익잉여금결손금,85,이익잉여금(결손금)
자본잉여금,82,자본잉여금
투자부동산,81,투자부동산
이연법인세부채,80,이연법인세부채
기타포괄손익누계액,79,기타포괄손익누계액 | 기타포괄손익 누계액
현금및현금성자산에대한환율변동효과,77,현금및현금성자산에 대한 환율변동효과
단기차입금의상환,77,단기차입금의 상환 | 단기차입금의상환
이자수취,75,이자수취 | 이자 수취
기타비유동자산,72,기타비유동자산
기본주당이익손실,72,기본주당이익(손실)
현금및현금성자산의순증가감소,70,현금및현금성자산의순증가(감소) | 현금및현금성자산의 순증가(감소)
무형자산의처분,67,무형자산의 처분 | 무형자산의처분
임차보증금의증가,62,임차보증금의 증가
단기차입금의증가,62,단기차입금의 증가
희석주당이익손실,60,희석주당이익(손실)
기타자본구성요소,60,기타자본구성요소
유동재고자산,59,유동재고자산
당기손익공정가치측정금융자산,58,당기손익공정가치측정금융자산 | 당기손익-공정가치측정금융자산 | 당기손익-공정가치 측정 금융자산
기타비유동금융자산,58,기타비유동금융자산
이자지급영업,58,이자지급(영업)
기타수익,54,기타수익
기타비용,54,기타비용 | 기타 비용
임차보증금의감소,54,임차보증금의 감소
단기금융상품,54,단기금융상품
사용권자산,54,사용권자산
영업활동으로인한자산부채의변동,54,영업활동으로 인한 자산 부채의 변동 | 영업활동으로 인한 자산·부채의 변동 | 영업활동으로인한 자산부채의변동
재고자산,53,재고자산
배당금지급,52,배당금지급 | 배당금 지급
기타유동금융자산,51,기타유동금융자산
단기금융상품의취득,51,단기금융상품의 취득
장기차입금의상환,50,장기차입금의 상환
매출채권,49,매출채권
법인세환급납부,49,법인세환급(납부)
단기차입금,48,단기차입금 | 단기 차입금
장기차입금의증가,48,장기차입금의 증가
비지배지분에귀속되는당기순이익손실,47,비지배지분에 귀속되는 당기순이익(손실)
당기순이익조정을위한가감,47,당기순이익조정을 위한 가감
기타손실,46,기타손실
유동리스부채,45,유동리스부채 | 유동 리스부채
기타이익,45,기타이익
당기손익으로재분류되지않는항목세후기타포괄손익,45,당기손익으로 재분류되지 않는항목(세후기타포괄손익)
임대보증금의증가,44,임대보증금의 증가 | 임대보증금의증가
비유동리스부채,44,비유동 리스부채 | 비유동리스부채
단기금융상품의처분,44,단기금융상품의 처분
리스부채의상환,43,리스부채의 상환
