company,news_sentiment_score,news_count,sentiment_volatility,positive_ratio,negative_ratio,recency_weight_mean
CJ,-52.92,30.0,0.4649,0.0,0.5333,0.9921
CJ ENM,-42.92,30.0,0.5189,0.0333,0.4667,0.8867
CJ제일제당,-13.13,30.0,0.5684,0.1333,0.2667,0.9185
HMM,-76.41,30.0,0.5532,0.0667,0.8333,0.9906
KT,-38.93,29.0,0.826,0.2414,0.6207,0.987
KT&G,-46.87,30.0,0.552,0.0333,0.5,0.9173
LG생활건강,-74.43,30.0,0.5427,0.0667,0.8333,0.9612
LG에너지솔루션,-26.5,30.0,0.7772,0.2333,0.4667,0.9674
LG유플러스,-26.74,30.0,0.8259,0.3333,0.5667,0.9935
LG전자,-30.9,30.0,0.3924,0.0,0.3,0.9932
LG화학,-39.34,30.0,0.5971,0.1,0.5333,0.9925
NAVER,-43.47,30.0,0.6986,0.1667,0.6667,0.9151
POSCO홀딩스,-20.59,29.0,0.5827,0.1034,0.3448,0.8576
S-Oil,-32.61,30.0,0.4244,0.0,0.3,0.9667
SK이노베이션,-76.41,30.0,0.5542,0.0667,0.8333,0.9654
SK텔레콤,-21.99,30.0,0.6838,0.1667,0.4,0.9502
SK하이닉스,-38.77,30.0,0.5166,0.0333,0.4333,0.9896
기아,-82.37,30.0,0.3589,0.0,0.8333,0.9947
대한항공,-65.37,30.0,0.4652,0.0,0.6667,0.9954
두산에너빌리티,8.06,30.0,0.8043,0.3667,0.3,0.9354
롯데케미칼,-73.51,30.0,0.4727,0.0333,0.8,0.9195
리더스코스메틱,-63.0,30.0,0.4472,0.0,0.6667,0.3426
매일홀딩스,-31.87,30.0,0.6265,0.1,0.5,0.3417
매커스,-68.13,30.0,0.5479,0.0333,0.5333,0.4134
멀티캠퍼스,-39.38,30.0,0.5927,0.0667,0.5667,0.7042
메디톡스,16.62,30.0,0.4741,0.2333,0.0333,0.8375
멕아이씨에스,-12.84,29.0,0.4787,0.069,0.1724,0.2002
명문제약,-36.67,30.0,0.5961,0.1,0.4333,0.611
모나리자,-30.58,30.0,0.8055,0.2333,0.5667,0.8877
무학,-59.4,30.0,0.5867,0.0667,0.6667,0.9144
문배철강,-46.61,30.0,0.5422,0.0667,0.6,0.4694
미래산업,-51.25,30.0,0.4648,0.0,0.5333,0.9889
바이오니아,-59.34,30.0,0.5463,0.0667,0.6333,0.524
바이오스마트,-39.66,30.0,0.449,0.0333,0.3667,0.5987
방림,-88.29,30.0,0.2797,0.0,0.9,0.7998
베뉴지,-87.71,30.0,0.7878,0.2667,0.5333,0.0839
벽산,-63.64,30.0,0.5794,0.0667,0.7,0.8834
부산주공,-64.9,30.0,0.5722,0.0667,0.7667,0.4107
부스타,-53.83,30.0,0.5948,0.0667,0.6333,0.2926
브이티,-72.83,29.0,0.5515,0.069,0.7241,0.5711
비나텍,-43.64,30.0,0.5228,0.0333,0.4,0.5161
비에이치,-6.77,30.0,0.4389,0.0667,0.1333,0.8261
비엠티,-25.13,30.0,0.5252,0.0333,0.4,0.5327
사조대림,-50.07,30.0,0.6014,0.0667,0.5667,0.7619
사조산업,-37.65,29.0,0.7747,0.2414,0.5172,0.6122
사조오양,-61.68,30.0,0.7854,0.2,0.6,0.2214
삼목에스폼,-53.87,30.0,0.5173,0.0333,0.7,0.1361
삼성E&A,-14.35,30.0,0.4807,0.1,0.2,0.934
삼성SDI,-56.26,30.0,0.5271,0.0333,0.6333,0.9251
삼성물산,-60.24,30.0,0.5004,0.0333,0.6333,0.9775
삼성바이오로직스,-54.7,30.0,0.5037,0.0333,0.6,0.952
삼성에스디에스,-36.67,30.0,0.6384,0.1,0.4667,0.8437
삼성전자,-72.98,30.0,0.4789,0.0333,0.8333,0.9928
삼진엘앤디,-43.28,30.0,0.6264,0.1,0.4333,0.72
삼천리자전거,-69.81,30.0,0.4582,0.0333,0.7,0.394
삼현철강,-45.04,30.0,0.5877,0.0667,0.5,0.5618
삼화네트웍스,-68.44,30.0,0.4436,0.0333,0.6667,0.9486
상신브레이크,-66.48,30.0,0.528,0.0333,0.7,0.5166
상신이디피,-47.0,30.0,0.5887,0.1,0.3667,0.529
상지건설,-49.17,30.0,0.6293,0.1333,0.5,0.4072
샘표,-87.06,30.0,0.3389,0.0,0.8667,0.9281
서부T&D,-69.62,30.0,0.4904,0.0,0.5,0.4536
서연,-88.77,30.0,0.3007,0.0,0.9,0.7864
서울반도체,-18.22,30.0,0.7354,0.2667,0.4333,0.393
서울식품,-47.24,30.0,0.6167,0.1,0.5333,0.8357
서울제약,-44.15,30.0,0.6813,0.1333,0.5,0.3608
서한,-86.07,30.0,0.2892,0.0,0.8667,0.9573
선바이오,-15.98,30.0,0.5882,0.1,0.3667,0.0597
선진뷰티사이언스,-50.14,28.0,0.7392,0.2143,0.4643,0.2382
성문전자,-33.28,30.0,0.5536,0.0667,0.5,0.5842
성안머티리얼스,-32.34,30.0,0.5914,0.1,0.5,0.4701
성우전자,-46.5,30.0,0.4486,0.0,0.4,0.4294
세명전기,-20.9,30.0,0.4003,0.0333,0.2,0.8269
세방,-62.48,30.0,0.713,0.1667,0.6667,0.7258
세방전지,-24.94,30.0,0.7881,0.3333,0.4,0.5506
세아베스틸지주,14.59,30.0,0.6153,0.2667,0.1333,0.5946
셀트리온,-31.45,30.0,0.5709,0.0667,0.3667,0.9607
소노스퀘어,-6.4,29.0,0.4603,0.0345,0.2414,0.178
쇼박스,-62.53,30.0,0.5812,0.0667,0.7,0.9151
수산세보틱스,-76.51,30.0,0.4715,0.0,0.5333,0.111
슈프리마에이치큐,-29.87,30.0,0.5555,0.0667,0.3333,0.3846
신라교역,-14.45,30.0,0.6886,0.1333,0.4667,0.3568
신성이엔지,-38.36,30.0,0.5728,0.0667,0.4333,0.8654
신진에스엠,-18.35,30.0,0.5794,0.1333,0.3,0.3402
싸이토젠,-48.8,30.0,0.5235,0.0333,0.5667,0.2693
쎌바이오텍,-57.52,30.0,0.5224,0.0333,0.7,0.1764
씨큐브,-20.59,28.0,0.5447,0.0357,0.6071,0.2022
아모레퍼시픽,-70.01,30.0,0.408,0.0,0.7333,0.9453
아시아나항공,-77.65,30.0,0.5386,0.0667,0.8667,0.9127
아이씨티케이,-62.49,30.0,0.4783,0.0,0.6,0.5416
아이엠,-64.04,30.0,0.6412,0.1,0.7333,0.8743
아이즈비전,-59.66,30.0,0.4472,0.0,0.6,0.3579
아이티센엔텍,-46.94,29.0,0.5188,0.069,0.5172,0.7973
아이패밀리에스씨,-8.35,30.0,0.6402,0.1667,0.3,0.7621
아주스틸,-30.64,30.0,0.7815,0.2667,0.5333,0.6537
알에프텍,-62.23,30.0,0.6686,0.1667,0.4,0.4489
알티캐스트,-39.21,30.0,0.5847,0.0667,0.6667,0.1632
에스디생명공학,-45.32,30.0,0.8164,0.2667,0.6,0.3111
에스디시스템,-51.33,30.0,0.4414,0.0,0.7333,0.0341
에스앤더블류,-31.47,30.0,0.5007,0.0333,0.4667,0.4891
에스에이엠티,-42.36,30.0,0.4376,0.0,0.6667,0.4054
에스에이티,-65.47,29.0,0.5323,0.0345,0.4828,0.0929
에스피지,-54.42,30.0,0.5412,0.0333,0.5333,0.5207
에쓰씨엔지니어링,-75.62,29.0,0.4411,0.0,0.6552,0.1949
에이디테크놀로지,-47.25,30.0,0.5413,0.0333,0.5333,0.881
에코프로,6.19,30.0,0.6504,0.2667,0.2,0.9808
에프에스티,-45.28,30.0,0.4786,0.0,0.4,0.3228
엔씨소프트,-80.01,30.0,0.4343,0.0333,0.8667,0.9842
엔에스이엔엠,-45.01,30.0,0.5351,0.0333,0.5333,0.4751
엠에스씨,-63.28,30.0,0.4751,0.0,0.4667,0.3145
엠케이전자,-10.06,30.0,0.4979,0.1,0.1667,0.7487
영원무역,-14.52,30.0,0.4541,0.0667,0.2,0.7458
영풍,22.92,30.0,0.8054,0.5667,0.4,0.9878
예스티,-16.99,30.0,0.5472,0.0667,0.4667,0.3871
오공,-53.68,30.0,0.5134,0.0667,0.6667,0.571
오뚜기,-99.8,30.0,0.0052,0.0,1.0,0.9865
오로라,-90.47,30.0,0.2622,0.0,0.9,0.9315
오리콤,-58.07,30.0,0.5689,0.0667,0.6,0.458
오텍,-31.61,30.0,0.4774,0.0333,0.4,0.5738
옴니시스템,-57.36,30.0,0.5906,0.1,0.3,0.1729
옵트론텍,-42.05,30.0,0.4538,0.0,0.4333,0.8716
와이어블,-42.82,30.0,0.4698,0.0,0.5,0.3306
와이즈버즈,-59.91,30.0,0.4413,0.0,0.6,0.8564
와이지-원,-72.12,30.0,0.5245,0.0333,0.6333,0.6341
우리기술투자,-70.28,30.0,0.5661,0.0667,0.7667,0.9126
우성,-78.85,30.0,0.3568,0.0,0.8,0.9651
우신시스템,-64.77,30.0,0.4452,0.0,0.6333,0.6908
우양에이치씨,-84.78,30.0,0.606,0.1,0.4,0.2102
우주일렉트로,-76.31,30.0,0.5447,0.0333,0.6,0.342
원림,-80.87,27.0,0.4762,0.0,0.6296,0.498
원익큐브,-39.68,30.0,0.4788,0.0,0.4,0.3414
월덱스,-34.23,30.0,0.5289,0.0333,0.5667,0.2946
웰크론,-53.41,30.0,0.4546,0.0,0.5667,0.4351
유니온머티리얼,-1.85,30.0,0.3818,0.0667,0.1333,0.6583
유니켐,-52.78,29.0,0.4614,0.0,0.4828,0.1427
유니테스트,-43.8,30.0,0.6304,0.1,0.5,0.7025
유비온,-79.69,30.0,0.4026,0.0,0.7333,0.2372
유비쿼스홀딩스,-52.88,30.0,0.5552,0.0667,0.6,0.3701
인스코비,-41.42,30.0,0.5239,0.0333,0.5333,0.6891
인지소프트,-24.76,30.0,0.3985,0.0,0.2,0.1151
인지컨트롤스,-37.67,30.0,0.539,0.0333,0.5333,0.5996
인텍플러스,-39.83,30.0,0.566,0.1,0.5,0.9932
일신바이오,-84.9,30,0.6002,0.0667,0.5333,0.2611
일진전기,-46.42,30,0.5713,0.0667,0.5667,0.8445
제이스코홀딩스,-55.94,29,0.4737,0.0,0.5517,0.3177
제이엠아이,-18.37,30,0.6258,0.1333,0.3333,0.1332
조광페인트,-83.54,30,0.4178,0.0333,0.9,0.7819
조이시티,-0.49,29,0.214,0.0345,0.0,0.9499
조일알미늄,-49.58,30,0.5531,0.0667,0.3667,0.4964
진로발효,-98.19,30,0.1952,0.0,0.9667,0.0624
진바이오텍,-68.89,30,0.5341,0.0333,0.5333,0.1978
진성티이씨,-67.77,30,0.4667,0.0,0.6667,0.4659
진양산업,-43.28,30,0.7362,0.2,0.4667,0.2255
진양폴리,-64.19,30,0.746,0.2,0.4333,0.2199
진양홀딩스,10.88,30,0.5753,0.0667,0.4333,0.1646
참엔지니어링,-23.69,30,0.5903,0.1,0.3333,0.1891
체시스,-61.17,30,0.5275,0.0333,0.4333,0.3213
카카오,-86.8,30,0.4801,0.0667,0.9333,0.9985
카페24,-32.0,30,0.4172,0.0,0.3,0.961
켐트로닉스,-20.91,30,0.6896,0.1667,0.4333,0.5817
코세스,-27.95,30,0.5537,0.0667,0.3333,0.6792
코스맥스비티아이,-33.58,30,0.5025,0.0333,0.3333,0.4544
코스모신소재,-32.49,30,0.5035,0.0333,0.3333,0.8191
코오롱글로벌,-69.2,30,0.5427,0.0667,0.8,0.9469
코칩,-27.6,30,0.3504,0.0,0.1667,0.2941
큐로홀딩스,-45.91,29,0.4898,0.0345,0.5172,0.711
큐에스아이,-24.94,30,0.5779,0.0667,0.3667,0.4276
클래시스,-51.73,29,0.6449,0.1034,0.5862,0.95
태경케미컬,-57.25,30,0.5961,0.0667,0.5,0.2403
태광,-65.06,30,0.6285,0.1,0.7667,0.9838
태웅,-57.07,30,0.4769,0.0,0.6,0.7601
테크엘,-14.43,30,0.4057,0.0,0.6,0.012
티케이지애강,-60.72,30,0.5761,0.0667,0.7667,0.172
티플랙스,-49.64,30,0.5055,0.0333,0.7,0.3997
퍼스텍,-33.54,30,0.6171,0.1333,0.3333,0.7272
푸드웰,-19.06,29,0.4993,0.0345,0.2759,0.2678
풀무원,-25.09,29,0.4432,0.0345,0.2414,0.9719
프럼파스트,-77.07,30,0.5506,0.0333,0.5667,0.3526
플레이위드,-14.14,30,0.7546,0.2333,0.3667,0.8662
하츠,-92.59,30,0.2486,0.0,0.9333,0.9714
한국공항,-85.49,30,0.3855,0.0333,0.9333,0.9713
한국알콜,-70.28,29,0.52,0.0345,0.6897,0.279
한국전력,-38.7,30,0.561,0.0667,0.5333,0.9842
한농화성,-51.24,30,0.5963,0.0667,0.5667,0.7507
한빛소프트,-64.88,30,0.5006,0.0333,0.7333,0.8782
한성크린텍,-72.56,28,0.462,0.0,0.4643,0.1802
한신공영,-77.91,30,0.3751,0.0,0.8,0.9077
한온시스템,-16.3,30,0.3643,0.0,0.1667,0.9598
한올바이오파마,-38.85,30,0.5171,0.0333,0.3333,0.6415
한창,-89.86,26,0.2292,0.0385,0.9615,0.9517
한화,-55.8,30,0.5457,0.0333,0.6,0.9988
한화에어로스페이스,-86.44,30,0.3335,0.0,0.8667,0.9668
해성산업,-55.86,30,0.7791,0.2,0.6,0.221
현대모비스,-1.29,30,0.2491,0.0333,0.0333,0.9773
현대지에프홀딩스,-86.83,30,0.3155,0.0,0.8667,0.8559
현대차,-74.53,30,0.5402,0.0667,0.8,0.9977
형지I&C,-78.7,30,0.3705,0.0,0.8,0.8969
