company,news_sentiment_score,news_count,sentiment_volatility,positive_ratio,negative_ratio,recency_weight_mean
리더스코스메틱,-62.86,30,0.4465,0.0,0.6667,0.3465
리드코프,48.9,30,0.6005,0.1,0.4,0.0631
리튬포어스,-10.85,30,0.5067,0.1,0.2667,0.5496
마니커,3.75,30,0.7423,0.2,0.6333,0.2613
마크로젠,-6.53,29,0.6262,0.2069,0.4828,0.5312
만호제강,-18.62,30,0.537,0.1,0.2333,0.368
매일홀딩스,-24.31,30,0.6723,0.1333,0.4667,0.3455
매커스,-70.92,30,0.5496,0.0333,0.5333,0.4452
머큐리,-79.59,30,0.3884,0.0,0.7667,0.5567
멀티캠퍼스,-51.89,30,0.5288,0.0333,0.6333,0.7135
메디안디노스틱,-97.58,30,0.4182,0.0,0.7333,0.0794
메디톡스,17.32,30,0.4732,0.2333,0.0333,0.8468
메디포스트,-65.71,30,0.4807,0.0333,0.7333,0.7312
메이슨캐피탈,-43.91,30,0.3285,0.0,0.8667,0.0969
메카로,-55.51,30,0.4436,0.0,0.5667,0.8641
멕아이씨에스,-17.1,29,0.4799,0.069,0.1724,0.2024
명문제약,-33.63,30,0.6309,0.1333,0.4667,0.6451
모나리자,-31.7,30,0.7954,0.2333,0.6,0.8955
모나미,-73.73,30,0.6645,0.1333,0.8,0.4042
모베이스전자,-58.97,30,0.5361,0.0667,0.6,0.5566
모비스,-73.99,30,0.4037,0.0,0.7667,0.9269
모헨즈,-53.18,30,0.4892,0.0333,0.3,0.2927
무림페이퍼,-12.34,30,0.446,0.0333,0.2667,0.8116
무학,-70.33,30,0.5771,0.0667,0.7667,0.888
미래산업,-70.63,30,0.4971,0.0333,0.7333,0.9705
미스터블루,-64.73,30,0.5455,0.0333,0.5667,0.4797
바른손,-59.82,30,0.4701,0.0,0.5667,0.8997
바이넥스,-40.62,30,0.5869,0.1333,0.5333,0.4589
바이오로그디바이스,-15.49,30,0.4753,0.0333,0.3,0.2922
바이오스마트,-33.35,30,0.4297,0.0333,0.3333,0.5595
바이오톡스텍,-33.55,30,0.4623,0.0,0.4,0.402
바텍,-44.04,30,0.4378,0.0,0.4,0.7046
반도체,-26.2,30,0.5597,0.0667,0.3333,0.9988
방림,-88.62,30,0.2907,0.0,0.9,0.8002
버킷스튜디오,-66.55,30,0.6096,0.1,0.6667,0.3464
범한퓨얼셀,-26.77,30,0.4451,0.0333,0.3333,0.5745
베스파,-68.39,23,0.4337,0.0,0.6957,0.1906
베셀,-26.93,30,0.6111,0.1,0.3667,0.3122
보광산업,-43.44,30,0.5387,0.1,0.4667,0.3789
보령,-86.93,30,0.3517,0.0333,0.9333,0.9957
보라티알,-48.62,30,0.5113,0.0333,0.7,0.1492
보성파워텍,-30.48,30,0.5038,0.0333,0.3667,0.7346
보해양조,-85.76,30,0.3292,0.0,0.8667,0.697
부광약품,5.9,30,0.3403,0.1,0.0333,0.9311
부국증권,-88.7,29,0.3049,0.0,0.8966,0.956
부산산업,-23.62,29,0.5469,0.069,0.3448,0.8429
부산주공,-64.92,30,0.5703,0.0667,0.7333,0.4148
부스타,-53.42,30,0.5295,0.0333,0.6333,0.2956
뷰노,-28.41,30,0.6881,0.1667,0.5,0.6503
브랜드엑스코퍼레이션,-51.93,30,0.4688,0.0333,0.5333,0.3745
브리지텍,-38.55,30,0.6499,0.1,0.5,0.1885
블루콤,-43.04,30,0.5199,0.0333,0.3333,0.2757
비나텍,-33.19,30,0.5458,0.0667,0.4,0.4829
비덴트,-20.36,30,0.8646,0.3667,0.5333,0.0971
비보존헬스케어,-88.36,30,0.5407,0.0667,0.4667,0.0316
비비씨,-71.26,30,0.4776,0.0,0.5,0.1154
비상교육,-56.67,30,0.5072,0.0333,0.5667,0.85
비씨엔씨,4.64,30,0.5359,0.0667,0.3,0.1699
비아트론,-31.22,29,0.592,0.069,0.5172,0.334
비엠티,-27.06,30,0.5316,0.0333,0.4,0.5265
비올,-15.81,30,0.6454,0.1667,0.3333,0.857
비츠로시스,-20.12,30,0.4312,0.0,0.3333,0.2767
비츠로테크,-24.87,30,0.5577,0.0667,0.3,0.6831
비플라이소프트,-39.61,30,0.4443,0.0,0.4333,0.2782
빛샘전자,-21.62,30,0.4232,0.0,0.2667,0.5653
빅텍,-43.01,30,0.5748,0.1,0.3667,0.2626
빅히트,-52.95,30,0.4713,0.0333,0.5667,0.9454
사람인에이치알,97.59,29,0.6116,0.2069,0.1724,0.0158
삼목에스폼,-58.97,30,0.5157,0.0333,0.7,0.1374
삼보모터스,-66.78,30,0.412,0.0,0.6667,0.8836
삼보산업,-73.9,30,0.6741,0.1333,0.6667,0.2616
삼보판지,-52.59,30,0.7725,0.2667,0.4667,0.0453
삼성공조,-66.49,30,0.5283,0.0333,0.6333,0.6562
삼성머스트스팩6호,-99.98,1,0.0,0.0,1.0,0.0
삼성바이오로직스,-54.5,30,0.5891,0.0667,0.6,0.9538
삼성물산,-62.92,30,0.4666,0.0,0.6333,0.9838
삼성생명,-67.25,30,0.4929,0.0667,0.7333,0.9599
삼성에스디에스,-40.61,30,0.6083,0.0667,0.4667,0.8434
삼성전자,-79.75,30,0.3985,0.0,0.8,0.9985
삼성엔지니어링,-49.59,30,0.7438,0.1667,0.6333,0.6085
삼성전기,-11.23,30,0.4413,0.0667,0.1667,0.9364
삼성중공업,1.33,30,0.1876,0.0333,0.0,0.9992
