normalized_name,count,examples
재고자산,10,재고자산
비유동자산,10,비유동자산
이연법인세자산,10,이연법인세자산
이연법인세부채,10,이연법인세부채
금융수익,10,금융수익
충당부채,9,충당부채
자본금,9,자본금
이익잉여금,9,이익잉여금
기타포괄손익,9,기타포괄손익
지분법자본변동,9,지분법자본변동
매출채권,8,매출채권
순확정급여부채,8,순확정급여부채
매출원가,8,매출원가
영업활동현금흐름,8,영업활동현금흐름 | 영업활동 현금흐름
투자부동산,8,투자부동산
단기금융상품,7,단기금융상품
매입채무,7,매입채무
당기법인세부채,7,당기법인세부채
매출총이익,7,매출총이익
판매비와관리비,7,판매비와관리비 | 판매비와 관리비
이자의수취,7,이자의 수취
당기손익공정가치측정금융자산,7,당기손익-공정가치 측정 금융자산 | 당기손익-공정가치측정금융자산
해외사업환산손익,7,해외사업환산손익
관계기업및공동기업투자,6,관계기업 및 공동기업 투자 | 관계기업 및 공동기업투자 | 관계기업및공동기업투자
기타비용,6,기타비용
법인세비용차감전순이익,6,법인세비용차감전순이익
영업에서창출된현금흐름,6,영업에서 창출된 현금흐름
자본잉여금,6,자본잉여금
기타포괄손익누계액,6,기타포괄손익누계액
법인세의납부,6,법인세의 납부
법인세비용,6,법인세비용
단기차입금,5,단기차입금
장기차입금,5,장기차입금
기타수익,5,기타수익
장기차입금의차입,5,장기차입금의 차입
사용권자산,5,사용권자산
장기금융상품,5,장기금융상품
매입채무및기타채무,5,매입채무및기타채무
지배기업의소유주에게귀속되는자본,5,지배기업의 소유주에게 귀속되는 자본
사채의발행,5,사채의 발행
기타비유동금융자산,5,기타비유동금융자산
계속영업이익,5,계속영업이익
정부보조금의수취,5,정부보조금의 수취
미지급금,4,미지급금
사채,4,사채
기타자본항목,4,기타자본항목
기본주당이익,4,기본주당이익
배당금의지급,4,배당금의지급 | 배당금의 지급
자기주식의취득,4,자기주식의 취득
기타수취채권,4,기타수취채권
당기법인세자산,4,당기법인세자산
기타지급채무,4,기타지급채무
차입금,4,차입금
확정급여제도의재측정요소,4,확정급여제도의 재측정요소 | 확정급여제도의재측정요소
지배기업의소유주지분,4,지배기업의 소유주지분
기본주당이익손실,4,기본주당이익(손실)
배당금의수취,4,배당금의 수취
단기금융상품의감소,4,단기금융상품의 감소
단기금융상품의증가,4,단기금융상품의 증가
리스부채의상환,4,리스부채의 상환
매출채권및기타채권,4,매출채권및기타채권
지분법손익,4,지분법손익
장기금융상품의증가,4,장기금융상품의 증가
장기금융상품의감소,4,장기금융상품의 감소
사채의상환,4,사채의 상환
기타유동금융자산,4,기타유동금융자산
현금및현금성자산에대한환율변동효과,4,현금및현금성자산에 대한 환율변동효과
단기차입금의차입,4,단기차입금의 차입
단기차입금의상환,4,단기차입금의 상환
선수금,3,선수금
미지급비용,3,미지급비용
유동성장기부채,3,유동성장기부채
주식발행초과금,3,주식발행초과금
지분법이익,3,지분법이익
법인세비용수익,3,법인세비용(수익)
희석주당이익,3,희석주당이익
해외사업장환산외환차이,3,해외사업장환산외환차이
관계기업및공동기업투자의처분,3,관계기업 및 공동기업 투자의 처분 | 관계기업 및 공동기업투자의 처분
현금및현금성자산의증가감소,3,현금및현금성자산의 증가(감소)
기타금융자산,3,기타금융자산
기타영업외수익,3,기타영업외수익
기타영업외비용,3,기타영업외비용
법인세비용차감전순이익손실,3,법인세비용차감전순이익(손실)
관계기업의기타포괄손익에대한지분,3,관계기업의 기타포괄손익에 대한 지분
희석주당이익손실,3,희석주당이익(손실)
기타수취채권의감소,3,기타수취채권의 감소
기타수취채권의증가,3,기타수취채권의 증가
현금및현금성자산의순증감,3,현금및현금성자산의 순증감
매각예정비유동자산,3,매각예정비유동자산
순확정급여부채의재측정요소,3,순확정급여부채의 재측정요소
당기손익공정가치측정금융자산의취득,3,당기손익-공정가치 측정 금융자산의 취득 | 당기손익-공정가치측정금융자산의 취득
당기손익공정가치측정금융자산의처분,3,당기손익-공정가치 측정 금융자산의 처분 | 당기손익-공정가치측정금융자산의 처분
당기손익공정가치측정금융부채의감소,3,당기손익-공정가치 측정 금융부채의 감소 | 당기손익-공정가치측정금융부채의 감소
기타포괄손익공정가치측정금융자산의취득,3,기타포괄손익-공정가치 측정 금융자산의 취득 | 기타포괄손익-공정가치측정금융자산의취득
기타포괄손익공정가치측정금융자산의처분,3,기타포괄손익-공정가치 측정 금융자산의 처분 | 기타포괄손익-공정가치측정금융자산의처분
배당금지급,3,배당금 지급 | 배당금지급
미지급법인세,3,미지급법인세
중단영업손익,3,중단영업손익
투자활동으로부터의현금유입,3,투자활동으로부터의 현금유입
투자활동으로부터의현금유출,3,투자활동으로부터의 현금유출
파생상품거래의정산,3,파생상품거래의 정산
기타,3,기타
장기차입금의상환,3,장기차입금의 상환
